SampleDate,temperature
2011-09-09T00:00:00Z,7.57
2011-09-10T00:00:00Z,7.39
2011-09-11T00:00:00Z,7.19
2011-09-12T00:00:00Z,7.24
2011-09-14T00:00:00Z,7.68
2011-09-15T00:00:00Z,7.51
2011-09-16T00:00:00Z,7.41
2011-09-17T00:00:00Z,6.19
2011-09-18T00:00:00Z,6.65
2011-09-19T00:00:00Z,6.75
2011-09-20T00:00:00Z,6.51
2011-09-21T00:00:00Z,6.47
2011-09-22T00:00:00Z,6.45
2011-09-23T00:00:00Z,6.73
2011-09-24T00:00:00Z,6.89
2011-09-25T00:00:00Z,7.06
2011-09-26T00:00:00Z,6.52
2011-09-27T00:00:00Z,6.59
2011-09-28T00:00:00Z,6.66
2011-09-29T00:00:00Z,6.41
2011-09-30T00:00:00Z,6.88
2011-10-01T00:00:00Z,7.16
2011-10-02T00:00:00Z,6.93
2011-10-03T00:00:00Z,6.82
2011-10-04T00:00:00Z,6.7
2011-10-05T00:00:00Z,5.44
2011-10-06T00:00:00Z,4.43
2011-10-07T00:00:00Z,4.51
2011-10-08T00:00:00Z,4.46
2011-10-09T00:00:00Z,4.22
2011-10-10T00:00:00Z,4.46
2011-10-11T00:00:00Z,4.48
2011-10-12T00:00:00Z,4.28
2011-10-13T00:00:00Z,4.6
2011-10-14T00:00:00Z,5.43
2011-10-15T00:00:00Z,5.75
2011-10-16T00:00:00Z,5.37
2011-10-17T00:00:00Z,4.15
2011-10-18T00:00:00Z,3.98
2011-10-19T00:00:00Z,4.13
2011-10-20T00:00:00Z,4.33
2011-10-21T00:00:00Z,4.52
2011-10-22T00:00:00Z,4.32
2011-10-23T00:00:00Z,4.4
2011-10-24T00:00:00Z,4.31
2011-10-25T00:00:00Z,2.82
2011-10-26T00:00:00Z,2.02
2011-10-27T00:00:00Z,2.1
2011-10-28T00:00:00Z,2.13
2011-10-29T00:00:00Z,3.05
2011-10-30T00:00:00Z,2.76
2011-10-31T00:00:00Z,3.41
2011-11-01T00:00:00Z,1.91
2011-11-02T00:00:00Z,1.27
2011-11-03T00:00:00Z,1.85
2011-11-04T00:00:00Z,2.03
2011-11-05T00:00:00Z,1.42
2011-11-06T00:00:00Z,1.27
2011-11-07T00:00:00Z,1.15
2011-11-08T00:00:00Z,0.84
2011-11-09T00:00:00Z,0.98
2011-11-10T00:00:00Z,1.25
2011-11-11T00:00:00Z,1.5
2011-11-12T00:00:00Z,1.09
2011-11-13T00:00:00Z,1.29
2011-11-14T00:00:00Z,1.58
2011-11-15T00:00:00Z,1.32
2011-11-16T00:00:00Z,0.71
2011-11-17T00:00:00Z,1.1
2011-11-18T00:00:00Z,1.17
2011-11-19T00:00:00Z,0.97
2011-11-20T00:00:00Z,0.67
2011-11-21T00:00:00Z,1.52
2011-11-22T00:00:00Z,1.35
2011-11-23T00:00:00Z,1.87
2011-11-24T00:00:00Z,2
2011-11-25T00:00:00Z,1.23
2011-11-26T00:00:00Z,0.8
2011-11-27T00:00:00Z,1.41
2011-11-28T00:00:00Z,2.05
2011-11-29T00:00:00Z,1.62
2011-11-30T00:00:00Z,1.69
2011-12-01T00:00:00Z,0.8
2011-12-02T00:00:00Z,0.81
2011-12-03T00:00:00Z,0.5
2011-12-04T00:00:00Z,0.91
2011-12-05T00:00:00Z,0.39
2011-12-06T00:00:00Z,0.51
2011-12-07T00:00:00Z,0.66
2011-12-08T00:00:00Z,0.58
2011-12-09T00:00:00Z,0.62
2011-12-10T00:00:00Z,0.69
2011-12-11T00:00:00Z,0.7
2011-12-12T00:00:00Z,0.62
2011-12-13T00:00:00Z,0.52
2011-12-14T00:00:00Z,0.85
2011-12-15T00:00:00Z,0.87
2011-12-16T00:00:00Z,0.65
2011-12-17T00:00:00Z,0.82
2011-12-18T00:00:00Z,0.91
2011-12-19T00:00:00Z,0.7
2011-12-20T00:00:00Z,0.72
2011-12-21T00:00:00Z,0.76
2011-12-22T00:00:00Z,0.32
2011-12-23T00:00:00Z,0.37
2011-12-24T00:00:00Z,0.46
2011-12-25T00:00:00Z,0.6
2011-12-26T00:00:00Z,0.65
2011-12-27T00:00:00Z,1.02
2011-12-28T00:00:00Z,0.94
2011-12-29T00:00:00Z,0.76
2011-12-30T00:00:00Z,0.67
2011-12-31T00:00:00Z,0.53
2012-01-01T00:00:00Z,0.84
2012-01-02T00:00:00Z,1.21
2012-01-03T00:00:00Z,1.09
2012-01-04T00:00:00Z,1
2012-01-05T00:00:00Z,1.39
2012-01-06T00:00:00Z,0.6
2012-01-07T00:00:00Z,0.52
2012-01-08T00:00:00Z,0.85
2012-01-09T00:00:00Z,0.74
2012-01-10T00:00:00Z,0.92
2012-01-11T00:00:00Z,0.34
2012-01-12T00:00:00Z,0.34
2012-01-13T00:00:00Z,0.39
2012-01-14T00:00:00Z,0.59
2012-01-15T00:00:00Z,0.62
2012-01-16T00:00:00Z,0.33
2012-01-17T00:00:00Z,0.35
2012-01-18T00:00:00Z,0.33
2012-01-19T00:00:00Z,0.28
2012-01-20T00:00:00Z,0.45
2012-01-21T00:00:00Z,0.39
2012-01-22T00:00:00Z,0.8
2012-01-23T00:00:00Z,1.04
2012-01-24T00:00:00Z,0.75
2012-01-25T00:00:00Z,1.15
2012-01-26T00:00:00Z,1.23
2012-01-27T00:00:00Z,0.64
2012-01-28T00:00:00Z,0.63
2012-01-29T00:00:00Z,1.06
2012-01-30T00:00:00Z,1.24
2012-01-31T00:00:00Z,0.93
2012-02-01T00:00:00Z,1.12
2012-02-02T00:00:00Z,0.99
2012-02-03T00:00:00Z,0.71
2012-02-04T00:00:00Z,0.75
2012-02-05T00:00:00Z,0.76
2012-02-06T00:00:00Z,0.73
2012-02-07T00:00:00Z,0.77
2012-02-08T00:00:00Z,1.19
2012-02-09T00:00:00Z,1.4
2012-02-10T00:00:00Z,1.49
2012-02-11T00:00:00Z,1.49
2012-02-12T00:00:00Z,1.59
2012-02-13T00:00:00Z,1.31
2012-02-14T00:00:00Z,1.04
2012-02-15T00:00:00Z,0.8
2012-02-16T00:00:00Z,0.72
2012-02-17T00:00:00Z,1.25
2012-02-18T00:00:00Z,1.08
2012-02-19T00:00:00Z,0.82
2012-02-20T00:00:00Z,0.7
2012-02-21T00:00:00Z,1.15
2012-02-22T00:00:00Z,1.19
2012-02-23T00:00:00Z,1.08
2012-02-24T00:00:00Z,0.77
2012-02-25T00:00:00Z,0.89
2012-02-26T00:00:00Z,0.86
2012-02-27T00:00:00Z,0.78
2012-02-28T00:00:00Z,0.68
2012-02-29T00:00:00Z,0.86
2012-03-01T00:00:00Z,0.86
2012-03-02T00:00:00Z,0.74
2012-03-03T00:00:00Z,1.17
2012-03-04T00:00:00Z,1.22
2012-03-05T00:00:00Z,1.29
2012-03-06T00:00:00Z,1.1
2012-03-07T00:00:00Z,0.63
2012-03-08T00:00:00Z,0.92
2012-03-09T00:00:00Z,1.1
2012-03-10T00:00:00Z,1.28
2012-03-11T00:00:00Z,1.31
2012-03-12T00:00:00Z,1.34
2012-03-13T00:00:00Z,1.25
2012-03-14T00:00:00Z,1.12
2012-03-15T00:00:00Z,1.26
2012-03-16T00:00:00Z,1.11
2012-03-17T00:00:00Z,1.25
2012-03-18T00:00:00Z,1.29
2012-03-19T00:00:00Z,1.16
2012-03-20T00:00:00Z,1.06
2012-03-21T00:00:00Z,1.41
2012-03-22T00:00:00Z,1.52
2012-03-23T00:00:00Z,1.43
2012-03-24T00:00:00Z,1.39
2012-03-25T00:00:00Z,1.45
2012-03-26T00:00:00Z,1.26
2012-03-27T00:00:00Z,1.28
2012-03-28T00:00:00Z,1.26
2012-03-29T00:00:00Z,1.32
2012-03-30T00:00:00Z,1.04
2012-03-31T00:00:00Z,0.96
2012-04-01T00:00:00Z,1.26
